#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
3923,I0626_all,Asia,Southeast Asia,Vietnam,2200-1600 BCE,3850,20.13333333,105.9833333,0.0044,0,0.017,0,0.002,0,0,0,0.006,0,0,0,0.0092,0,0,0,0,0,0,0.0031,0.8862,0,0.0273,0.0416,0,0,0,0,0,0,0,0.0001,0,0
3924,I0627_all,Asia,Southeast Asia,Vietnam,"2133-1892 calBCE (3630¡À35 BP, Poz-81116)",3949,20.13333333,105.9833333,0.0108,0,0,0,0,0,0.0092,0.0055,0.0053,0,0,0,0,0.0014,0,0,0,0,0,0.0073,0.9547,0,0.0033,0,0,0,0,0,0,0,0,0,0,0
3925,I1137_all_published,Asia,Southeast Asia,Vietnam,"1882-1742 calBCE (3480¡À20 BP, PSUAMS-2410)",3758,20.13333333,105.9833333,0.018,0,0,0,0.0029,0,0,0.0047,0,0,0,0,0,0,0,0,0,0.002,0,0.0033,0.9533,0.0041,0.0056,0.003,0,0,0,0,0,0,0,0.0014,0,0
3926,I1859_all,Asia,Southeast Asia,Vietnam,"1889-1742 calBCE (3490¡À25 BP, PSUAMS-1920)",3762,20.13333333,105.9833333,0,0,0.0105,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.9755,0,0,0,0,0,0,0,0,0.005,0,0.0009,0,0
3927,I2497_all,Asia,Southeast Asia,Vietnam,100 BCE - 100 CE,1950,19.8,105.8,0.0209,0,0.0118,0,0.0024,0.0003,0,0.0039,0.0052,0,0,0,0,0.0022,0,0,0,0,0.0046,0.0062,0.9305,0.0059,0,0,0,0,0,0,0,0,0,0.0008,0,0
3928,I2731_all,Asia,Southeast Asia,Vietnam,"1872-1636 calBCE (3430¡À20 BP, PSUAMS-2370)",3684,20.13333333,105.9833333,0,0,0.0068,0,0,0,0,0.0081,0.0155,0,0,0,0,0,0,0,0,0.0067,0.0137,0.0149,0.8657,0,0,0.0666,0,0,0,0,0,0,0,0,0,0
3929,I4451_all,Oceania,Oceania,Vanuatu,"410-210 calBCE (2348¡À32 BP, Wk-20390)",2260,-17.689401,168.289509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930,I0626,Asia,Southeast Asia,Vietnam,2200-1600 BCE,3850,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0.0044,0,0,0.0016,0,0,0,0,0,0,0.0037,0,0.9616,0,0,0.0283,0,0,0,0,0,0,0,0,0,0
3931,I0627,Asia,Southeast Asia,Vietnam,"2133-1892 calBCE (3630¡À35 BP, Poz-81116)",3949,20.13333333,105.9833333,0,0,0,0,0,0.0021,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0.9964,0,0,0,0,0,0,0,0,0,0,0,0,0
3932,I0944,Asia,North Asia,Russia,"2026-1701 calBCE (3540¡À52 BP, AA-90949)",3820,53.876,59.076,0,0.0175,0,0,0.0027,0,0.8901,0,0.0059,0,0,0,0,0.0011,0,0,0.0234,0,0,0,0,0,0,0.0202,0,0.0193,0,0,0,0,0,0,0.0195,0
3934,I1137,Asia,Southeast Asia,Vietnam,"1882-1742 calBCE (3480¡À20 BP, PSUAMS-2410)",3758,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9932,0,0.0065,0,0,0,0,0,0,0,0,0,0,0
3935,I1781,Asia,Central Asia,Turkmenistan,"2014-1771 calBCE (3550¡À30 BP, PSUAMS-2065)",3832,38.21228,62.03443,0.0084,0,0,0,0,0.021,0,0,0.0036,0.0059,0,0.0034,0.0184,0,0,0,0,0.0068,0.0031,0,0,0,0.1529,0.7168,0,0,0,0.053,0.0047,0,0,0.0006,0,0
3936,I1782,Asia,Central Asia,Turkmenistan,"2289-2141 calBCE (3785¡À20 BP, PSUAMS-2309)",4163,38.21228,62.03443,0.0052,0,0.0023,0,0.0031,0.0523,0.0372,0.0125,0,0,0,0,0.0039,0.0023,0,0,0,0,0,0.0073,0,0.0018,0.1002,0.7331,0,0,0,0,0,0.0351,0,0.0008,0,0.0027
3937,I1787,Asia,Central Asia,Turkmenistan,"2140-1977 calBCE (3680¡À20 BP, PSUAMS-2310)",4023,38.21228,62.03443,0.0367,0,0,0,0.0051,0.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1316,0.7469,0,0.0322,0,0,0,0,0,0,0,0.0347
3938,I1788,Asia,Central Asia,Turkmenistan,"2130-1896 calBCE (3630¡À30 BP, PSUAMS-2066)",3947,38.21228,62.03443,0.005,0,0,0,0,0.0101,0.048,0.0099,0,0,0.0127,0,0,0.0024,0,0.0034,0,0,0,0,0,0,0.1591,0.7377,0.0019,0.0031,0.0053,0,0,0,0,0,0,0
3939,I1789,Asia,Central Asia,Turkmenistan,"2282-2028 calBCE (3735¡À35 BP, Poz-83486)",4082,38.21228,62.03443,0.0196,0,0,0,0,0.0366,0.1115,0.0738,0.0128,0,0,0.0407,0,0.0206,0,0,0,0,0,0,0,0,0.0892,0.3749,0,0.0318,0,0.1655,0,0,0,0,0.0228,0
3940,I1790,Asia,Central Asia,Turkmenistan,"2135-1953 calBCE (3660¡À20 BP, PSUAMS-2311)",3994,38.21228,62.03443,0.0011,0.0112,0.0038,0,0.0013,0.0247,0.0008,0,0,0,0,0,0.0109,0.0043,0,0.0031,0,0,0.0073,0,0,0,0.1604,0.749,0,0.0047,0,0,0.0041,0,0,0.002,0,0.011
3941,I1792,Asia,Central Asia,Turkmenistan,"2456-2200 calBCE (3840¡À35 BP, Poz-83487)",4254,38.21228,62.03443,0,0.0067,0,0.0133,0,0.3248,0.082,0.0328,0,0,0,0.0746,0.1343,0,0,0,0,0.0118,0,0,0,0,0,0.3176,0,0,0,0,0,0,0,0,0,0
3942,I1793,Asia,Central Asia,Turkmenistan,"2195-2027 calBCE (3700¡À20 BP, PSUAMS-2312)",4038,38.21228,62.03443,0,0.0084,0,0,0.0006,0.0393,0.037,0,0,0,0.0216,0,0.0129,0.0008,0,0,0,0.0016,0,0,0,0,0.0807,0.7254,0,0,0.0214,0.0425,0,0,0.0058,0,0,0
3943,I1859,Asia,Southeast Asia,Vietnam,"1889-1742 calBCE (3490¡À25 BP, PSUAMS-1920)",3762,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9986,0,0,0,0,0,0,0,0,0,0,0,0,0
3944,I2085,Asia,Central Asia,Turkmenistan,"2020-1882 calBCE (3580¡À20 BP, PSUAMS-2313)",3881,38.21228,62.03443,0,0,0,0,0,0.0038,0.0024,0.0144,0.0023,0,0,0,0,0.0063,0,0,0,0,0,0.0023,0,0.0008,0.1587,0.7092,0,0,0,0.0961,0,0,0,0,0,0.003
3945,I2087,Asia,Central Asia,Turkmenistan,"2197-2034 calBCE (3715¡À20 BP, PSUAMS-2335)",4051,38.21228,62.03443,0,0,0.009,0,0,0,0,0,0,0,0.0083,0,0,0,0,0.0271,0,0,0,0,0,0,0.112,0.8116,0,0,0,0,0,0,0,0,0.0234,0.0083
3946,I2116,Asia,Central Asia,Turkmenistan,"2123-1830 calBCE (3605¡À35 BP, Poz-83490)",3916,38.21228,62.03443,0,0,0,0,0,0.0334,0.0052,0,0.0076,0,0,0,0,0,0,0,0,0.0084,0.0035,0.0025,0,0.003,0.1588,0.7714,0.0057,0,0,0,0,0,0,0,0,0
3947,I2121,Asia,Central Asia,Turkmenistan,"2204-2038 calBCE (3735¡À20 BP, PSUAMS-2314)",4079,38.21228,62.03443,0,0,0,0,0.0015,0,0.0021,0,0,0,0.0122,0,0.0316,0.0091,0,0,0,0,0,0,0,0,0.1292,0.8118,0,0,0,0,0,0,0,0,0,0
3949,I2123,Asia,Central Asia,Turkmenistan,"2451-2141 calBCE (3815¡À35 BP, Poz-83491)",4211,38.21228,62.03443,0.0085,0.0059,0.0024,0.0029,0,0.0608,0,0,0.0128,0.0008,0,0,0,0,0,0,0.0049,0.0039,0,0,0.0892,0,0,0.7965,0,0.0062,0,0,0,0,0.0013,0,0.0016,0
